Эвакуировать погибших в Непале российских альпинистов не удалось ,https://ria.ru/20241010/alpinisty-1977347154.html,"['Непал', 'Пенза', 'Ленинградская область', 'В мире']"
Появились подробности о погибших в Непале российских альпинистах ,https://ria.ru/20241008/alpinist-1976965295.html,"['Архангельская область', 'Непал', 'Россия', 'Происшествия']"
С эвакуацией тел погибших в Непале альпинистов могут возникнуть трудности ,https://ria.ru/20241008/alpinist-1976964207.html,"['Архангельская область', 'Непал', 'Гималаи', 'Происшествия']"
Альпинисты в Непале начали сбор средств для вывоза тел погибших товарищей ,https://ria.ru/20241008/nepal-1976915123.html,"['Архангельская область', 'Непал', 'Гималаи']"
Большунов перешел в сборную Татарстана ,https://rsport.ria.ru/20241005/bolshunov-1976553969.html,"['Архангельская область', 'Лыжные гонки', 'Спорт', 'Республика Татарстан (Татарстан)', 'Россия', 'Александр Большунов', 'Вероника Степанова']"
На борту разбившегося вертолета был депутат городской думы Архангельска ,https://ria.ru/20240927/arkhangelsk-1975035764.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Россия']"
После крушения вертолета в Архангельской области завели дело ,https://ria.ru/20240927/vertolet-1975021734.html,"['Архангельская область', 'Происшествия', 'Следственный комитет России (СК РФ)']"
В Архангельской области нашли пропавший вертолет Robinson 44 ,https://ria.ru/20240927/vertolet-1975006537.html,"['Архангельская область', 'Происшествия', 'Robinson R-44']"
Ми-8 вылетел на поиски пропавшего в Архангельской области вертолета ,https://ria.ru/20240927/vertolet-1974992098.html,"['Архангельская область', 'Происшествия', 'Россия', 'Федеральное агентство воздушного транспорта (Росавиация)', 'МЧС России (Министерство РФ по делам гражданской обороны, чрезвычайным ситуациям и ликвидации последствий стихийных бедствий)', 'Ми-8 АМТШ']"
В Архангельской области начали проверку после пропажи частного вертолета ,https://ria.ru/20240926/vertolet-1974940741.html,"['Архангельская область', 'Происшествия', 'Россия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
Пропавший в Архангельской области вертолет не предоставил план полета ,https://ria.ru/20240926/vertolet-1974934904.html,"['Архангельская область', 'Происшествия', 'Россия']"
В Архангельской области ведут поиск пропавшего с радаров вертолета ,https://ria.ru/20240926/vertolet-1974932967.html,"['Архангельская область', 'Россия', 'Происшествия', 'Северо-Западная транспортная прокуратура', 'Следственный комитет России (СК РФ)']"
В Архангельской области пропал с радаров частный вертолет ,https://ria.ru/20240926/vertolet-1974926661.html,"['Архангельская область', 'Архангельск', 'Происшествия', 'Россия']"
Цыбульский рассказал о роли регионов в развитии экспорта ,https://ria.ru/20240926/regiony-1974725200.html,"['Архангельская область', 'Архангельская область', 'Экономика', 'Россия', 'Индия', 'Александр Цыбульский', 'Владимир Путин', 'РЖД']"
Более 30 мер поддержки семей с детьми работают в Архангельской области ,https://ria.ru/20240925/deti-1974725042.html,"['Архангельская область', 'Архангельская область', 'Общество', 'Россия', 'Владимир Путин']"
Цыбульский обозначил приоритеты работы комиссии Госсовета по экспорту ,https://ria.ru/20241014/tsybulskiy-1978033653.html,"['Архангельская область', 'Архангельская область', 'Россия', 'Александр Цыбульский', 'Алексей Дюмин', 'Вероника Никишина', 'Росэксимбанк', 'Фонд ""Росконгресс""']"
